iter	Passed	Remaining
0	138	138090
1	139	69821
2	141	47177
3	143	35763
4	145	28921
5	148	24571
6	149	21249
7	151	18839
8	153	16930
9	155	15404
10	157	14136
11	158	13081
12	160	12179
13	162	11430
14	164	10775
15	165	10191
16	167	9677
17	169	9225
18	170	8822
19	172	8453
20	174	8114
21	175	7805
22	177	7526
23	178	7264
24	180	7048
25	182	6844
26	184	6634
27	185	6454
28	187	6285
29	189	6117
30	190	5962
31	192	5820
32	193	5681
33	195	5554
34	197	5434
35	198	5321
36	200	5215
37	201	5110
38	203	5011
39	204	4918
40	206	4826
41	207	4739
42	209	4658
43	211	4585
44	212	4514
45	214	4442
46	215	4375
47	217	4314
48	219	4251
49	220	4194
50	222	4136
51	223	4082
52	225	4033
53	227	3979
54	229	3935
55	230	3887
56	232	3838
57	233	3790
58	234	3747
59	236	3706
60	238	3670
61	240	3631
62	241	3594
63	243	3557
64	244	3519
65	246	3485
66	247	3451
67	249	3418
68	250	3385
69	252	3358
70	254	3330
71	256	3301
72	257	3274
73	259	3246
74	261	3220
75	262	3192
76	264	3166
77	265	3141
78	267	3116
79	269	3093
80	270	3070
81	272	3047
82	273	3023
83	275	3002
84	276	2979
85	278	2956
86	279	2938
87	281	2919
88	283	2902
89	285	2885
90	287	2867
91	288	2850
92	290	2831
93	291	2812
94	293	2793
95	294	2774
96	296	2757
97	297	2740
98	299	2725
99	300	2707
100	302	2692
101	304	2677
102	305	2662
103	307	2647
104	308	2631
105	310	2619
106	312	2607
107	313	2592
108	315	2578
109	317	2566
110	318	2551
111	320	2538
112	321	2526
113	323	2515
114	325	2502
115	326	2489
116	328	2475
117	329	2463
118	331	2451
119	332	2437
120	333	2425
121	335	2412
122	336	2401
123	338	2389
124	339	2377
125	341	2367
126	342	2355
127	344	2345
128	345	2335
129	347	2324
130	348	2313
131	350	2302
132	351	2292
133	353	2282
134	354	2272
135	356	2262
136	357	2253
137	359	2243
138	360	2234
139	362	2223
140	363	2214
141	365	2206
142	366	2198
143	368	2188
144	369	2179
145	371	2172
146	372	2162
147	374	2154
148	375	2146
149	377	2139
150	379	2131
151	380	2123
152	382	2115
153	383	2106
154	384	2098
155	386	2091
156	388	2085
157	389	2077
158	391	2069
159	393	2063
160	394	2056
161	396	2049
162	397	2041
163	399	2034
164	400	2027
165	402	2020
166	403	2014
167	405	2008
168	407	2001
169	408	1994
170	409	1987
171	411	1981
172	412	1973
173	414	1966
174	415	1959
175	417	1952
176	418	1946
177	419	1939
178	421	1932
179	422	1926
180	424	1919
181	425	1913
182	427	1907
183	428	1901
184	430	1895
185	431	1890
186	433	1883
187	434	1877
188	436	1872
189	437	1866
190	439	1860
191	441	1856
192	442	1850
193	443	1844
194	445	1839
195	447	1833
196	448	1828
197	449	1822
198	451	1818
199	453	1812
200	454	1807
201	456	1802
202	457	1797
203	459	1792
204	460	1786
205	462	1782
206	464	1778
207	466	1774
208	467	1768
209	468	1764
210	470	1759
211	471	1753
212	473	1748
213	474	1744
214	476	1738
215	477	1733
216	479	1728
217	480	1723
218	482	1719
219	483	1714
220	485	1709
221	486	1704
222	487	1700
223	489	1695
224	490	1691
225	492	1686
226	493	1682
227	495	1677
228	497	1673
229	498	1669
230	500	1665
231	501	1660
232	503	1657
233	504	1653
234	506	1648
235	507	1644
236	509	1640
237	510	1635
238	512	1631
239	513	1626
240	515	1622
241	516	1618
242	517	1613
243	519	1609
244	520	1605
245	522	1601
246	523	1596
247	525	1592
248	526	1589
249	528	1585
250	529	1581
251	531	1577
252	532	1573
253	534	1569
254	535	1565
255	537	1561
256	538	1558
257	540	1555
258	542	1551
259	543	1547
260	545	1543
261	546	1540
262	548	1536
263	549	1532
264	551	1529
265	552	1525
266	554	1521
267	555	1517
268	556	1513
269	558	1509
270	559	1505
271	561	1502
272	562	1498
273	564	1495
274	565	1491
275	567	1488
276	569	1485
277	570	1481
278	571	1478
279	573	1474
280	575	1471
281	576	1468
282	578	1464
283	579	1461
284	581	1457
285	582	1453
286	583	1450
287	585	1446
288	586	1443
289	588	1439
290	589	1437
291	591	1433
292	592	1430
293	594	1427
294	596	1424
295	597	1421
296	599	1418
297	601	1416
298	602	1412
299	604	1409
300	605	1406
301	607	1403
302	608	1400
303	610	1397
304	611	1394
305	613	1391
306	615	1388
307	616	1385
308	618	1382
309	619	1378
310	620	1375
311	622	1372
312	623	1368
313	625	1366
314	626	1363
315	628	1360
316	629	1357
317	631	1353
318	632	1350
319	634	1347
320	635	1344
321	637	1341
322	638	1339
323	640	1336
324	641	1332
325	643	1329
326	644	1326
327	646	1324
328	647	1321
329	649	1318
330	650	1315
331	652	1312
332	653	1309
333	655	1307
334	656	1304
335	658	1300
336	659	1297
337	661	1294
338	662	1291
339	664	1290
340	666	1287
341	667	1284
342	669	1281
343	670	1279
344	672	1276
345	673	1273
346	674	1270
347	676	1267
348	678	1265
349	679	1261
350	681	1259
351	682	1256
352	683	1253
353	685	1250
354	686	1248
355	688	1245
356	690	1243
357	691	1240
358	692	1237
359	694	1235
360	696	1232
361	697	1229
362	699	1226
363	700	1224
364	702	1221
365	703	1219
366	705	1216
367	706	1213
368	708	1211
369	709	1208
370	710	1205
371	712	1202
372	713	1200
373	715	1197
374	716	1194
